row_id,chunk_id,parent_doc_id,source_type,title,year,statement_type,note_number,section_type,chunk_index,chunk_count,chunk_text_length
0,2014_section_0_chunk_0,2014_section_0,main_section,독립된 감사인의 감사보고서,2014,,,auditor_report_title,0,1,183
1,2014_section_1_chunk_0,2014_section_1,main_section,재무제표에 대한 경영진의 책임,2014,,,management_responsibility,0,1,135
2,2014_section_2_chunk_0,2014_section_2,main_section,감사인의 책임,2014,,,auditor_responsibility,0,1,572
3,2014_section_3_chunk_0,2014_section_3,main_section,감사의견,2014,,,opinion,0,1,144
4,2014_section_4_chunk_0,2014_section_4,main_section,기타사항,2014,,,other_matters,0,1,92
5,2014_section_5_chunk_0,2014_section_5,main_section,(첨부)재 무 제 표,2014,,,attached_financial_statements,0,1,11
6,2014_section_6_chunk_0,2014_section_6,main_section,주석,2014,,,notes_section,0,14,1124
7,2014_section_6_chunk_1,2014_section_6,main_section,주석,2014,,,notes_section,1,14,1304
8,2014_section_6_chunk_2,2014_section_6,main_section,주석,2014,,,notes_section,2,14,1278
9,2014_section_6_chunk_3,2014_section_6,main_section,주석,2014,,,notes_section,3,14,1334
10,2014_section_6_chunk_4,2014_section_6,main_section,주석,2014,,,notes_section,4,14,1351
11,2014_section_6_chunk_5,2014_section_6,main_section,주석,2014,,,notes_section,5,14,1276
12,2014_section_6_chunk_6,2014_section_6,main_section,주석,2014,,,notes_section,6,14,1208
13,2014_section_6_chunk_7,2014_section_6,main_section,주석,2014,,,notes_section,7,14,1289
14,2014_section_6_chunk_8,2014_section_6,main_section,주석,2014,,,notes_section,8,14,1135
15,2014_section_6_chunk_9,2014_section_6,main_section,주석,2014,,,notes_section,9,14,1143
16,2014_section_6_chunk_10,2014_section_6,main_section,주석,2014,,,notes_section,10,14,1341
17,2014_section_6_chunk_11,2014_section_6,main_section,주석,2014,,,notes_section,11,14,1333
18,2014_section_6_chunk_12,2014_section_6,main_section,주석,2014,,,notes_section,12,14,1349
19,2014_section_6_chunk_13,2014_section_6,main_section,주석,2014,,,notes_section,13,14,1072
20,2014_section_7_chunk_0,2014_section_7,main_section,(주석,2014,,,notes_section,0,2,1174
21,2014_section_7_chunk_1,2014_section_7,main_section,(주석,2014,,,notes_section,1,2,239
22,2014_section_8_chunk_0,2014_section_8,main_section,주석,2014,,,notes_section,0,3,1136
23,2014_section_8_chunk_1,2014_section_8,main_section,주석,2014,,,notes_section,1,3,1346
24,2014_section_8_chunk_2,2014_section_8,main_section,주석,2014,,,notes_section,2,3,1014
25,2014_section_9_chunk_0,2014_section_9,main_section,주석,2014,,,notes_section,0,12,1123
26,2014_section_9_chunk_1,2014_section_9,main_section,주석,2014,,,notes_section,1,12,1345
27,2014_section_9_chunk_2,2014_section_9,main_section,주석,2014,,,notes_section,2,12,1348
28,2014_section_9_chunk_3,2014_section_9,main_section,주석,2014,,,notes_section,3,12,1269
29,2014_section_9_chunk_4,2014_section_9,main_section,주석,2014,,,notes_section,4,12,1343
30,2014_section_9_chunk_5,2014_section_9,main_section,주석,2014,,,notes_section,5,12,1331
31,2014_section_9_chunk_6,2014_section_9,main_section,주석,2014,,,notes_section,6,12,1318
32,2014_section_9_chunk_7,2014_section_9,main_section,주석,2014,,,notes_section,7,12,1345
33,2014_section_9_chunk_8,2014_section_9,main_section,주석,2014,,,notes_section,8,12,1348
34,2014_section_9_chunk_9,2014_section_9,main_section,주석,2014,,,notes_section,9,12,1296
35,2014_section_9_chunk_10,2014_section_9,main_section,주석,2014,,,notes_section,10,12,1265
36,2014_section_9_chunk_11,2014_section_9,main_section,주석,2014,,,notes_section,11,12,1139
37,2014_note_1_0_chunk_0,2014_note_1_0,note_block,1. 일반적 사항 :,2014,,1,,0,1,366
38,2014_note_2_1_chunk_0,2014_note_2_1,note_block,2. 중요한 회계처리방침 :,2014,,2,,0,7,963
39,2014_note_2_1_chunk_1,2014_note_2_1,note_block,2. 중요한 회계처리방침 :,2014,,2,,1,7,1206
40,2014_note_2_1_chunk_2,2014_note_2_1,note_block,2. 중요한 회계처리방침 :,2014,,2,,2,7,1262
41,2014_note_2_1_chunk_3,2014_note_2_1,note_block,2. 중요한 회계처리방침 :,2014,,2,,3,7,1146
42,2014_note_2_1_chunk_4,2014_note_2_1,note_block,2. 중요한 회계처리방침 :,2014,,2,,4,7,1320
43,2014_note_2_1_chunk_5,2014_note_2_1,note_block,2. 중요한 회계처리방침 :,2014,,2,,5,7,1246
44,2014_note_2_1_chunk_6,2014_note_2_1,note_block,2. 중요한 회계처리방침 :,2014,,2,,6,7,965
45,2014_note_2_2_chunk_0,2014_note_2_2,note_block,2. 중요,2014,,2,,0,1,900
46,2014_note_2_3_chunk_0,2014_note_2_3,note_block,2. 중요,2014,,2,,0,3,1083
47,2014_note_2_3_chunk_1,2014_note_2_3,note_block,2. 중요,2014,,2,,1,3,1317
48,2014_note_2_3_chunk_2,2014_note_2_3,note_block,2. 중요,2014,,2,,2,3,772
49,2014_note_3_4_chunk_0,2014_note_3_4,note_block,3. 중요한 회계추정 및 가정,2014,,3,,0,2,1175
50,2014_note_3_4_chunk_1,2014_note_3_4,note_block,3. 중요한 회계추정 및 가정,2014,,3,,1,2,527
51,2014_note_6_5_chunk_0,2014_note_6_5,note_block,6. 범주별 금융상품 :,2014,,6,,0,1,172
52,2014_note_7_6_chunk_0,2014_note_7_6,note_block,7. 금융자산의 신용건전성 :,2014,,7,,0,1,503
53,2014_note_8_7_chunk_0,2014_note_8_7,note_block,8. 금융자산의 양도 :,2014,,8,,0,1,258
