source_file,file_name,year,note_number,note_title,title_line,level,start,end,start_line_index,end_line_index,is_continued,text,metadata_json
report_parser/data/감사보고서_2016.htm,감사보고서_2016.htm,2016,3,중요한 회계추정 및 가정,3. 중요한 회계추정 및 가정 :,1,18380,19894,213,234,False,"3. 중요한 회계추정 및 가정 :
회사는 미래에 대하여 추정 및 가정을 하고 있습니다. 추정 및 가정은 지속적으로 평가되며, 과거 경험과 현재의 상황에서 합리적으로 예측가능한 미래의 사건을 고려하여 이루어집니다. 이러한 회계추정은 실제 결과와 다를 수도 있습니다. 다음 회계연도에 자산 및 부채 장부금액의 조정에 영향을 미칠 수 있는 유의적 위험에 대한 추정 및 가정은 다음과 같습니다.
가. 수익인식
회사는 설치 등의 서비스에 대하여 진행기준을 사용하고 있습니다. 진행기준은 회사가 발생예정원가에 대한 실제발생원가의 비율을 추정할 것을 요구하고 있습니다. 현재의 수익은 장기프로젝트의 초기단계, 프로젝트 수행범위의 변동, 원가의 변동, 공기의 변동 및 고객의 계획변경과 관련 요소들에 의하여 변동될 수 있습니다.
나. 판매보증충당부채
회사는 판매한 제품에 대하여 품질에 대한 보증의무를 부담하고 있습니다. 회사는 매보고기간 종료일 미래와 현재의 보증의무를 제공하는데 필요하다고 판단되는 최선의 추정치를 기준으로 보증충당부채를 계상하고 있습니다. 이러한 최선의 추정치는 과거 경험에 기초하여 결정하고 있습니다.
다. 금융상품의 공정가치
회사는 활성시장에서 거래되지 않는 금융상품의 공정가치에 대하여 보고기간 종료일현재 주요한 시장상황을 기초로 다양한 평가기법 및 가정을 사용하여 결정하고 있습니다.
라. 순확정급여자산
순확정급여자산은 많은 가정을 사용하는 보험수리적 방식에 의해 결정되는 다양한 요소들에 따라 달라질 수 있습니다. 퇴직연금의 순원가(이익)를 결정하는 데 사용되는 가정은 할인율을 포함하고 있으며, 이러한 가정의 변동은 순확정급여자산의 장부금액에 영향을 줄 것입니다. 회사는 매년 말 우량회사채 이자율을 고려하여 적절한 할인율을 결정하고 있으며, 이러한 할인율은 순확정급여자산의 정산 시 발생할 것으로 예상되는 미래의 추정 현금 유출액의 현재가치를 결정할 때 사용되어야 하는 이자율을 나타냅니다. 순확정급여자산과 관련된 다른 주요한 가정들은 일부 현재의 시장 상황에 근거하고 있습니다.
마. 영업권의 손상
회사는 매년 영업권의 손상여부를 검토하고 있습니다. 현금창출단위의 회수가능금액은 사용가치의 계산에 기초하여 결정하고 있습니다. 이러한 계산은 추정에 근거하여 이루어집니다.
바. 법인세
회사는 보고기간 종료일 현재까지의 영업활동의 결과로 미래에 부담할 것으로 예상되는 법인세효과를 최선의 추정과정을 거쳐 당기법인세 및 이연법인세로 인식하였습니다.하지만 실제 미래 최종 법인세부담은 인식한 관련 자산ㆍ부채와 일치하지 않을 수 있으며, 이러한 차이는 최종 세효과가 확정된 시점의 당기법인세 및 이연법인세 자산ㆍ부채에 영향을 줄 수 있습니다.
4
.
현금및현금성자산 :
현금및현금성자산은 보유중인 현금, 요구불예금 및 취득일 현재 확정된 금액의 현금으로 전환이 용이하고 가치변동의 위험이 경미한 매우 유동적인 단기 투자자산으로 구성되어 있습니다.
보고기간 종료일 현재 현금및현금성자산의 내역은 다음과 같습니다.
5.
사용제한금융상품 :
보고기간 종료일 현재 사용제한금융상품은 다음과 같습니다.","{""is_continued"": false, ""source_heading_line"": 213}"
report_parser/data/감사보고서_2016.htm,감사보고서_2016.htm,2016,6,범주별 금융상품,6. 범주별 금융상품 :,1,19895,19995,235,241,False,"6. 범주별 금융상품 :
가. 보고기간 종료일 현재 범주별 금융상품 내역은 다음과 같습니다.
(1) 당기말
(2) 전기말
나. 금융상품 범주별 순손익 구분
(1) 당기
(2) 전기","{""is_continued"": false, ""source_heading_line"": 235}"
report_parser/data/감사보고서_2016.htm,감사보고서_2016.htm,2016,7,금융자산의 신용건전성,7. 금융자산의 신용건전성 :,1,19996,20491,242,253,False,"7. 금융자산의 신용건전성 :
외부 신용등급 등을 참조하여 측정한 연체 및 손상되지 않은 주요 금융자산의 신용 건전성에 대한 상세 내역은 다음과 같습니다.
상환능력 우수, 최고 - Aaa~Aa(Moody's), AAA~AA(S&P, Fitch), A1(국내신용평가사)
상환능력 양호 - A(Moody's, S&P, Fitch), A2(국내신용평가사)
상환능력 적정 - Baa(Moody's), BBB(S&P, Fitch), A3(국내신용평가사)
상환가능 - Ba 이하(Moody's), BB 이하(S&P, Fitch), B 이하(국내신용평가사)
Group 1 - 외부신용등급이 없는 연결자회사
Group 2 - 자본잠식경험 및 채무불이행경험이 없는 일반고객
Group 3 - 자본잠식경험 및 채무불이행경험이 있으나 보험 및 담보가 설정되어 채무불이행위험이 해소된 일반고객
가. 매출채권
나. 현금성자산 및 단기금융상품
(*) 외부 신용등급이 존재하지 않는 금융기관 예치금(신용금고 등)","{""is_continued"": false, ""source_heading_line"": 242}"
report_parser/data/감사보고서_2016.htm,감사보고서_2016.htm,2016,8,금융자산의 양도,8. 금융자산의 양도 :,1,20492,20751,254,260,False,"8. 금융자산의 양도 :
회사는
당기
및 전기 중 은행과의 매출채권 팩토링 계약을 통해 매출채권을 할인하였습니다. 회사가 매출채권 팩토링 거래에서 제공한 매출채권은 채무자의 채무불이행시의 소구조건 등으로 대부분의 위험과 보상을 회사가 보유하므로 금융자산의 제거요건을 충족하지 않아 제거되지 않았습니다. 이러한 거래에서 인식한 금융부채는 재무상태표에 단기차입금으로 분류되어 있습니다(주석
15
참조).
보고기간 종료일 현재 매출채권의 할인된 내역은 다음과 같습니다.","{""is_continued"": false, ""source_heading_line"": 254}"
report_parser/data/감사보고서_2016.htm,감사보고서_2016.htm,2016,9,매도가능금융자산,9. 매도가능금융자산 :,1,20752,22005,261,285,False,"9. 매도가능금융자산 :
보고기간 종료일 현재 매도가능금융자산 변동내역은 다음과 같습니다.
(*) 당기 중 지분율 상승에 따라 삼성SDI 및 제일기획에 대한 매도가능금융자산을 관계기업 투자로 계정재분류 하였습니다.
상기 매도가능금융자산은 보고기간 종료일 현재 공정가액에 따라 평가하고 있으며, 자본(기타포괄손익)으로 인식된 매도가능금융자산평가손익의 변동내역은 다음과 같습니다.
가. 단기매도가능금융자산
보고기간 종료일 현재 단기매도가능금융자산의 구성내역은 다음과 같습니다.
나. 장기매도가능금융자산
보고기간 종료일 현재 장기매도가능금융자산의 구성내역은 다음과 같습니다.
(*) 보고기간 종료일 현재 매도가능금융자산 중 채무증권의 신용위험의 최대노출금액은 장부금액입니다.
(1) 지분증권- 상장주식
보고기간 종료일 현재 장기매도가능금융자산 중 상장주식의 내역은 다음과 같습니다
(*1) 당기 중 지분율 상승에 따라 삼성SDI 및 제일기획에 대한 매도가능금융자산을 관계기업 투자로 계정재분류 하였습니다.
(*2
)
당기 중 원익홀딩스(구 원익아이피에스)는 2016년 4월 1일에 인적분할을 하였으며, 분할존속회사는 원익홀딩스이고 분할신설회사는 원익아이피에스입니다.
(*3) 당기 중 용평리조트는 대한민국의 한국거래소 유가증권시장에 상장되었습니다.
(*4) 당기 중 Rambus, Seagate Technology 지분 전부를 매각하였습니다.
취득원가는 회수가능액이 취득원가에 미달하여 인식한 매도가능금융자산 손상차손을 차감하지 아니한 금액입니다. 손상차손 금액을 제외한 취득원가와 시가의 차액은 자본항목에 직접 반영되는 법인세효과를 감안한 후 기타자본항목(매도가능금융자산평가손익)으로 계상하고 있습니다.
(2) 지분증권- 비상장주식
보고기간 종료일 현재 장기매도가능금융자산 중 비상장주식의 구성내역은 다음과 같습니다.
(*1) 당기 중 부산신항만 지분 전부를 매각하였습니다.
(*2) 일부 시장성 없는 지분증권에 대하여 추정 현금흐름의 편차가 유의적이고 다양한 추정치의 발생 확률을 신뢰성 있게 평가할 수 없고 적용할 할인율을 신뢰성 있게 산정할 수 없으므로 취득원가로 평가하였습니다.
취득원가는 회수가능액이 취득원가에 미달하여 인식한 매도가능금융자산 손상차손을 차감하지 아니한 금액입니다. 손상차손 금액을 제외한 취득원가와 시가의 차액은 자본항목에 직접 반영되는 법인세효과를 감안한 후 기타자본항목(매도가능금융자산평가손익)으로 계상하고 있습니다.
(3) 채무증권
보고기간 종료일 현재 장기매도가능금융자산 중 채무증권의 내역은 다음과 같습니다","{""is_continued"": false, ""source_heading_line"": 261}"
report_parser/data/감사보고서_2016.htm,감사보고서_2016.htm,2016,10,매출채권 및 미수금,10. 매출채권 및 미수금 :,1,22006,22434,286,308,False,"10. 매출채권 및 미수금 :
가. 보고기간 종료일 현재 매출채권 및 미수금의 내역은 다음과 같습니다.
보
고기간 종료일 현재 회사가 금융기관 등에 양도한 매출채권 중 담보부 차입금으로 회계처리한 것은
9,061,167
백만원(전
기 :
7,127,
527백만원
)입니다
(주석
15
참조)
.
나. 당기 및 전기 중 대손충당금의 변동내역은 다음과 같습니다.
다. 보
고
기간 종료일 현재
매출
채권 및 미수금 연령분석 내역은 다음과 같습니다.
(*) 회사는 31일 이하 연체된 매출채권 및 미수금은 손상된 것으로 간주하지 않습니다.
라. 보고기간 종료일 현재 신용위험의 최대 노출금액은 채권의 장부금액입니다.
회사의 주요 채권과 관련하여 보험사와 보험계약을 체결하고 있으며, 보험 계약이 체결되지 않은 채권에 대해서는 연체 실적에 따라 충당금을 설정하고 있습니다.","{""is_continued"": false, ""source_heading_line"": 286}"
report_parser/data/감사보고서_2016.htm,감사보고서_2016.htm,2016,11,재고자산,11. 재고자산 :,1,22435,22641,309,315,False,"11. 재고자산 :
보고기간 종료일 현재 재고자산의 내역은 다음과 같습니다.
(*) 당기 중 회사는 생산 및 판매 중단한 재고자산을 순실현가능가치로 평가하고 원가와의 차이를 평가충당금으로 반영하였습니다.
당기 중 비용으로 인식한 재고자산의 금액은
97,186,967백만원(전기: 99,559,267백만원)입니다.
동 비용에는 재고자산 평가손실 금액이
포함되어 있습니다.","{""is_continued"": false, ""source_heading_line"": 309}"
report_parser/data/감사보고서_2016.htm,감사보고서_2016.htm,2016,12,"종속기업, 관계기업 및 공동기업 투자","12. 종속기업, 관계기업 및 공동기업 투자 :",1,22642,23570,316,346,False,"12. 종속기업, 관계기업 및 공동기업 투자 :
가. 당기 및 전기 중 종속기업, 관계기업 및 공동기업 투자의 변동내역은 다음과 같습니다.
(*1) 회사는 당
기 중 삼성카드 지분 전부를 매각하였습니다.
(*2)
당기 중 지분율 상승에 따라 삼성SDI 및 제일기획에 대한 매도가능금융자산을 관계기업투자로 계정재분류 하였습니다. 또한, 물적분할로 취득한 에스프린팅솔루션 및 Samsung Electronics (shandong) Digital Printing(SSDP) 지분 전부가 매각예정분류 요건을 충족함에 따라 매각예정분류자산으로 재분류 되었습니다(주석 33 참조).
나. 보고기간 종료일 현재 주요 관계기업 및 공동기업 투자 현황은 다음과 같습니다
(종속기업 현황은 주석 32 참조).
(1) 관계기업 투자
(*1) 총발행보통주식수 기준 지분율입니다.
(*2) 유통보통주식수 기준 지분율은 20.3%입니다.
(2) 공동기업 투자
(*) 총발행보통주식수 기준 지분율입니다.
다. 보고기간 종료일 현재 주요 종속기업, 주요 관계기업 및 공동기업의 요약 재무정보는 다음과 같습니다.
(1) 주요 종속기업
1) 당기
상기 요약재무정보는 각 종속기업의 별도재무제표 기준입니다.
2) 전기
상기 요약재무정보는 각 종속기업의 별도재무제표 기준입니다.
(2)
주요 관계기업
1) 당기
(*) 관계기업별 지배기업의 소유주에 귀속될 손익입니다.
2) 전기
(*) 삼성카드는 재무상태표에 유동과 비유동을 구분하여 표시하지 않습니다.
(*) 관계기업별 지배기업의 소유주에 귀속될 손익입니다.
(3) 주요 공동기업 투자
라. 보고기간 종료일 현재 시장성 있는 관계기업 투자주식의 내역은 다음과 같습니다
.
(*1) 당기에 상장되어 전기에 공표된 시장가격이 없어 공시하지 않았습니다.
(*2) 당기 중 지분율 상승에 따라 매도가능금융자산을 관계기업 투자로 계정재분류 하였습니다.","{""is_continued"": false, ""source_heading_line"": 316}"
report_parser/data/감사보고서_2016.htm,감사보고서_2016.htm,2016,13,유형자산,13. 유형자산 :,1,23571,24236,347,370,False,"13. 유형자산 :
가. 당기 및 전기 중 유형자산의 변동내역은 다음과 같습니다.
(1) 당기
(2)
전기
나. 당기 및 전기 중 계정과목별 유형자산 상각내역은 다음과 같습니다.
14.
무형자산 :
가. 당기 및 전기 중 무형자산의 변동내역은 다음과 같습니다.
(1) 당기
(2) 전기
나. 영업권
영업권은 식별된 현금창출단위에 배분하고 있으며, 보고기간 종료일 현재 영
업권은 없습니다.
회사는 매년 영업권의 손상여부를 검토하고 있으며, 현금창출단위의 회수가능가액은사용가치 계산에 근거하여 결정되었습니다. 사용가치의 계산은 경영진이 승인한 향후 5년치의 재무예산에 근거하여 세전현금흐름추정치를 사용하였습니다. 동 기간을 초과하는 기간에 대한 영구 현금흐름의 산출은 일정 성장률의 가정(단, 산업평균성장률을 초과하지 않음)이 사용되었습니다.
전기 중
손상평가 수행 결과 회사는 LED사업부 관련 영업권에 대하여
79,277백만원
의 손상차
손을 인식
하였습니다. 사용가치계산에 사용된 주요 가정치는 다음과 같습니다.
(*) 예상현금흐름에 적용된 세전할인율
회사는 과거의 실적과 미래의 시장변동에 대한 기대수준에 근거하여 매출액 성장률을 결정하였습니다. 사용된 할인율은 관련된 사업의 특수한 위험을 반영한 할인율입니다.
다. 당기 및 전기 중 계정과목별 무형자산 상각내역은 다음과 같습니다.","{""is_continued"": false, ""source_heading_line"": 347}"
report_parser/data/감사보고서_2016.htm,감사보고서_2016.htm,2016,15,차입금,15. 차입금 :,1,24237,24328,371,376,False,"15. 차입금 :
보고기간 종료일 현재 차입금 내역은 다음과 같습니다.
상기 담보부 차입금에 대해서는 매출채권이 담보로 제공되어 있습니다(주
석
8과 10
참조).","{""is_continued"": false, ""source_heading_line"": 371}"
