doc_id,source_type,title,year,statement_type,note_number,section_type,text_length
2014_table_summary_49,table_summary,table_summary_49,2014,,,,150
2014_table_summary_50,table_summary,table_summary_50,2014,,,,63
2014_table_summary_51,table_summary,table_summary_51,2014,,,,130
2014_table_summary_52,table_summary,table_summary_52,2014,,,,63
2014_table_summary_53,table_summary,table_summary_53,2014,,,,131
2014_table_summary_54,table_summary,table_summary_54,2014,,,,63
2014_table_summary_55,table_summary,table_summary_55,2014,,,,143
2014_table_summary_56,table_summary,table_summary_56,2014,,,,63
2014_table_summary_57,table_summary,table_summary_57,2014,,,,128
2014_table_summary_58,table_summary,table_summary_58,2014,,,,63
2014_table_summary_59,table_summary,table_summary_59,2014,,,,121
2014_table_summary_60,table_summary,table_summary_60,2014,,,,63
2014_table_summary_61,table_summary,table_summary_61,2014,,,,119
2014_table_summary_62,table_summary,table_summary_62,2014,,,,62
2014_table_summary_63,table_summary,table_summary_63,2014,,,,142
2014_table_summary_64,table_summary,table_summary_64,2014,,,,63
2014_table_summary_65,table_summary,table_summary_65,2014,,,,205
2014_table_summary_66,table_summary,table_summary_66,2014,,,,63
2014_table_summary_67,table_summary,table_summary_67,2014,,,,188
2014_table_summary_68,table_summary,table_summary_68,2014,,,,63
2014_table_summary_69,table_summary,table_summary_69,2014,,,,126
2014_table_summary_70,table_summary,table_summary_70,2014,,,,63
2014_table_summary_71,table_summary,table_summary_71,2014,,,,134
2014_table_summary_72,table_summary,table_summary_72,2014,,,,63
2014_table_summary_73,table_summary,table_summary_73,2014,,,,204
2014_table_summary_74,table_summary,table_summary_74,2014,,,,63
2014_table_summary_75,table_summary,table_summary_75,2014,,,,174
2014_table_summary_76,table_summary,table_summary_76,2014,,,,63
2014_table_summary_77,table_summary,table_summary_77,2014,,,,151
2014_table_summary_78,table_summary,table_summary_78,2014,,,,63
2014_table_summary_79,table_summary,table_summary_79,2014,,,,250
2014_table_summary_80,table_summary,table_summary_80,2014,,,,63
2014_table_summary_81,table_summary,table_summary_81,2014,,,,133
2014_table_summary_82,table_summary,table_summary_82,2014,,,,186
2014_table_summary_83,table_summary,table_summary_83,2014,,,,124
2014_table_summary_84,table_summary,table_summary_84,2014,,,,63
2014_table_summary_85,table_summary,table_summary_85,2014,,,,256
2014_table_summary_86,table_summary,table_summary_86,2014,,,,63
2014_table_summary_87,table_summary,table_summary_87,2014,,,,253
2014_table_summary_88,table_summary,table_summary_88,2014,,,,63
2014_table_summary_89,table_summary,table_summary_89,2014,,,,166
2014_table_summary_90,table_summary,table_summary_90,2014,,,,63
2014_table_summary_91,table_summary,table_summary_91,2014,,,,182
2014_table_summary_92,table_summary,table_summary_92,2014,,,,63
2014_table_summary_93,table_summary,table_summary_93,2014,,,,226
2014_table_summary_94,table_summary,table_summary_94,2014,,,,63
2014_table_summary_95,table_summary,table_summary_95,2014,,,,232
2014_table_summary_96,table_summary,table_summary_96,2014,,,,63
2014_table_summary_97,table_summary,table_summary_97,2014,,,,144
2014_table_summary_98,table_summary,table_summary_98,2014,,,,66
2014_table_summary_99,table_summary,table_summary_99,2014,,,,215
2014_table_summary_100,table_summary,table_summary_100,2014,,,,63
2014_table_summary_101,table_summary,table_summary_101,2014,,,,241
2014_table_summary_102,table_summary,table_summary_102,2014,,,,63
2014_table_summary_103,table_summary,table_summary_103,2014,,,,238
2014_table_summary_104,table_summary,table_summary_104,2014,,,,63
2014_table_summary_105,table_summary,table_summary_105,2014,,,,133
2014_table_summary_106,table_summary,table_summary_106,2014,,,,63
2014_table_summary_107,table_summary,table_summary_107,2014,,,,181
2014_table_summary_108,table_summary,table_summary_108,2014,,,,63
2014_table_summary_109,table_summary,table_summary_109,2014,,,,182
2014_table_summary_110,table_summary,table_summary_110,2014,,,,63
2014_table_summary_111,table_summary,table_summary_111,2014,,,,98
2014_table_summary_112,table_summary,table_summary_112,2014,,,,63
2014_table_summary_113,table_summary,table_summary_113,2014,,,,130
2014_table_summary_114,table_summary,table_summary_114,2014,,,,63
2014_table_summary_115,table_summary,table_summary_115,2014,,,,113
2014_table_summary_116,table_summary,table_summary_116,2014,,,,63
2014_table_summary_117,table_summary,table_summary_117,2014,,,,303
2014_table_summary_118,table_summary,table_summary_118,2014,,,,63
2014_table_summary_119,table_summary,table_summary_119,2014,,,,96
2014_table_summary_120,table_summary,table_summary_120,2014,,,,63
2014_table_summary_121,table_summary,table_summary_121,2014,,,,171
2014_table_summary_122,table_summary,table_summary_122,2014,,,,63
2014_table_summary_123,table_summary,table_summary_123,2014,,,,118
2014_table_summary_124,table_summary,table_summary_124,2014,,,,63
2014_table_summary_125,table_summary,table_summary_125,2014,,,,128
2014_table_summary_126,table_summary,table_summary_126,2014,,,,63
2014_table_summary_127,table_summary,table_summary_127,2014,,,,122
